No,Key,Name
1,Lamball,棉悠悠
2,Cattiva,捣蛋猫
3,Chikipi,皮皮鸡
4,Lifmunk,舉叶鼠
5,Foxparks,火绒狐
6,Fuack,冲浪鸭
7,Sparkit,伏特喵
8,Tanzee,新叶猿
9,Rooby,燎火鹿
10,Pengullet,企丸丸
11,Penking,企丸王
12,Jolthog,雷棘鼠
12,Jolthog Cryst,雷棘鼠Cryst
13,Gumoss,叶泥泥
13,Gumoss (Special),叶泥泥(变体)
14,Vixy,玉藻狐
15,Hoocrates,啼卡尔
16,Teafant,壶小象
17,Depresso,瞅什魔
18,Cremis,米露菲
19,Daedream,寐魔
20,Rushoar,草莽猪
21,Nox,露娜蒂
22,Fuddler,遁地鼠
23,Killamari,勾魂鱿
24,Mau,喵斯特
24,Mau Cryst,喵斯特Cryst
25,Celaray,鲁米儿
26,Direhowl,猎狼
27,Tocotoco,炸蛋鸟
28,Flopie,波娜兔
29,Mozzarina,波霸牛
30,Bristla,荆棘魔仙
31,Gobfin,鲨小子
31,Gobfin Ignis,鲨小子Ignis
32,Hangyu,吊缚灵
32,Hangyu Cryst,吊缚灵Cryst
33,Mossanda,叶胖达
33,Mossanda Lux,叶胖达Lux
34,Woolipop,棉花糖
35,Caprity,灌木羊
36,Melpaca,美露帕
37,Eikthyrdeer,紫霞鹿
37,Eikthyrdeer Terra,紫霞鹿Terra
38,Nitewing,疾风隼
39,Ribunny,姬小兔
40,Incineram,炎魔羊
40,Incineram Noct,炎魔羊Noct
41,Cinnamoth,幻悦蝶
42,Arsox,炽焰牛
43,Dumud,趴趴鲶
44,Cawgnito,黑鸦隐士
45,Leezpunk,朋克蜥
45,Leezpunk Ignis,朋克蜥Ignis
46,Loupmoon,月镰魔
47,Galeclaw,天擒鸟
48,Robinquill,羽箭射手
48,Robinquill Terra,羽箭射手Terra
49,Gorirat,铁拳猿
50,Beegarde, 骑士蜂
51,Elizabee,女皇蜂
52,Grintale,笑魇猫
53,Swee,毛掸儿
54,Sweepa,毛老爹
55,Chillet,疾旋鼬
56,Univolt,雷角马
57,Foxcicle,吹雪狐
58,Pyrin,火麒麟
58,Pyrin Noct,火麒麟Noct
59,Reindrix,严冬鹿
60,Rayhound,霹雳犬
61,Kitsun,苍焰狼
62,Dazzi,雷鸣童子
63,Lunaris,秘斯婕雅
64,Dinossom,花冠龙
64,Dinossom Lux,花冠龙Lux
65,Surfent,滑水蛇
65,Surfent Terra,滑水蛇Terra
66,Maraith,噬魂兽
67,Digtoise,碎岩龟
68,Tombat,猫蝠怪
69,Lovander,博爱蜥
70,Flambelle,融焰娘
71,Vanwyrm,烽歌龙
71,Vanwyrm Cryst,烽歌龙Cryst
72,Bushi,浪刃武士
73,Beakon,迅雷鸟
74,Ragnahawk,燧火鸟
75,Katress,暗巫猫
76,Wixen,焰巫狐
77,Verdash,踏春兔
78,Vaelet,薇莉塔
79,Sibelyx,绸笠蛾
80,Elphidran,精灵龙
80,Elphidran Aqua,精灵龙Aqua
81,Kelpsea,水灵儿
81,Kelpsea Ignis,水灵儿Ignis
82,Azurobe,碧海龙
83,Cryolinx,冰棘兽
84,Blazehowl, 狱焰王
84,Blazehowl Noct, 狱焰王Noct
85,Relaxaurus,佩克龙
85,Relaxaurus Lux,佩克龙Lux
86,Broncherry,连理龙
86,Broncherry Aqua,连理龙Aqua
87,Petallia,花丽娜
88,Reptyro,熔岩兽
88,Ice Reptyro,Ice熔岩兽
89,Kingpaca,君王美露帕
89,Ice Kingpaca,Ice君王美露帕
90,Mammorest,森猛犸
90,Mammorest Cryst,森猛犸Cryst
91,Wumpo,白绒雪怪
91,Wumpo Botan,白绒雪怪Botan
92,Warsect,铠格力斯
93,Fenglope,云海鹿
94,Felbat,夜幕魔蝠
95,Quivern,天羽龙
96,Blazamut,焰煌
97,Helzephyr,雷冥鸟
98,Astegon,魔渊龙
99,Menasting,冥铠蝎
100,Anubis,阿努比斯
101,Jormuntide,覆海龙
101,Jormuntide Ignis,覆海龙Ignis
102,Suzaku,朱雀
102,Suzaku Aqua,朱雀Aqua
103,Grizzbolt,暴电熊
104,Lyleen,百合女王
104,Lyleen Noct,百合女王Noct
105,Faleris,荷鲁斯
106,Orserk,波鲁杰克斯
107,Shadowbeak,异构格里芬
108,Paladius,圣光骑士
109,Necromus,混沌骑士
110,Frostallion,唤冬兽
110,Frostallion Noct,唤冬兽Noct
111,Jetragon,空涡龙
